Année;Nom région;Code région;Domaine de tension;Nb sites Photovoltaïque Enedis;Energie produite annuelle Photovoltaïque Enedis (MWh);Nb sites Eolien Enedis;Energie produite annuelle Eolien Enedis (MWh);Nb sites Hydraulique Enedis;Energie produite annuelle Hydraulique Enedis (MWh);Nb sites Bio Energie Enedis;Energie produite annuelle Bio Energie Enedis (MWh);Nb sites Cogénération Enedis;Energie produite annuelle Cogénération Enedis (MWh);Nb sites Autres filières Enedis;Energie produite annuelle Autres filières Enedis (MWh);geom;Geo Point 2D
2015;Centre-Val de Loire;24;HTA;9;36023,72983;59;1331098,799;16;32115,56973;21;350068,3785;29;197860,5473;0;0;;
2017;Nouvelle-Aquitaine;75;HTA;220;1198246,182;37;555046,347;225;493014,007;37;408071,488;50;323755,044;12;19382,312;;
2017;Normandie;28;HTA;11;32135,809;81;1290584,774;31;115566,934;27;118696,365;43;443915,507;3;298,016;;
2018;Provence-Alpes-Côte d'Azur;93;HTA;232;934274,299;5;58141,61433;93;416368,943;22;424481,1143;55;414934,6952;9;803,0553333;;
2018;Occitanie;76;HTA;366;1124320,925;117;2182421,818;479;1449445,534;25;420631,8148;24;191992,6305;15;995,133;;
2020;NORMANDIE;28;HTA;83;71324,72165;96;2052394,675;31;110685,303;44;165840,3617;55;491716,5852;5;70,33464874;"{""type"": ""Polygon"", ""coordinates"": [[[0.7976584164, 48.1944549651], [0.8304836557, 48.2107087286], [0.7621943025, 48.3068766386], [0.9422460342, 48.3990048437], [0.9665514626, 48.522741687], [0.8506353644, 48.5826257083], [0.8124167297, 48.6678410643], [0.9614442076, 48.7257221363], [1.1847360438, 48.772630245], [1.3195444496, 48.7609614404], [1.3621823367, 48.8341799202], [1.4683545148, 48.8922155976], [1.5015266013, 48.9410518412], [1.4577570077, 49.0262945711], [1.5217716034, 49.0685466922], [1.6233233619, 49.0860784034], [1.7043588288, 49.2321972209], [1.7756247174, 49.2996936786], [1.7227989638, 49.4330579386], [1.7663409121, 49.466149422], [1.7045833965, 49.6053971426], [1.6895744512, 49.6947874273], [1.7579284899, 49.780795399], [1.6784507674, 49.9181305679], [1.3796981484, 50.0650118895], [1.1943755832, 49.9680332609], [1.0658975355, 49.9256093006], [0.5729387624, 49.8497170503], [0.3205558385, 49.741550113], [0.2116690274, 49.7144642788], [0.0656094311, 49.5125747793], [0.12123967, 49.4631943689], [0.1103853621, 49.3942656611], [-0.0133700092, 49.3212043446], [-0.2256948452, 49.2818195872], [-0.4148499724, 49.3355810035], [-0.7222446785, 49.3470042921], [-0.9393818728, 49.3950413996], [-1.0782159992, 49.3884935509], [-1.18253211, 49.4240175935], [-1.306359568, 49.538928237], [-1.229596734, 49.6246537752], [-1.2878440862, 49.6925958157], [-1.4211648985, 49.7037063173], [-1.541576095, 49.6541120045], [-1.6783904495, 49.6612334362], [-1.9422468301, 49.7255579265], [-1.9461839216, 49.6743435916], [-1.8602959829, 49.6501938538], [-1.8410258497, 49.5717334942], [-1.885691206, 49.5403898443], [-1.8267734463, 49.452912708], [-1.8198270387, 49.3904819399], [-1.7111719729, 49.3250946361], [-1.5988469664, 49.1692004187], [-1.6094145765, 49.0792816023], [-1.5607098811, 49.0014809583], [-1.594149551, 48.8347154532], [-1.5744027819, 48.7518505016], [-1.4491592197, 48.6234165134], [-1.571089438, 48.6264411481], [-1.4899417998, 48.4893723567], [-1.3772457352, 48.4582827533], [-1.2722481273, 48.5339203309], [-1.2065516679, 48.5422060873], [-1.0701643749, 48.5084920165], [-0.8598848426, 48.501426304], [-0.7572771527, 48.436552496], [-0.6540003356, 48.444278312], [-0.5050615508, 48.5057988275], [-0.3676233889, 48.4929443142], [-0.1693787826, 48.5369731561], [-0.1487176348, 48.4580692239], [-0.0518905893, 48.4532554132], [0.0624898723, 48.3822138672], [0.1162476859, 48.4355556594], [0.2958558882, 48.4801748598], [0.3639563299, 48.4516317207], [0.3826098968, 48.3338284113], [0.4875765403, 48.3077958582], [0.5359704949, 48.2498445592], [0.6832196691, 48.2485882219], [0.7378296384, 48.1890696268], [0.7976584164, 48.1944549651]]]}";49.1190525264, 0.102048629624
2020;PROVENCE ALPES COTE D AZUR;93;HTA;498;1290126,529;5;49031,84067;95;558830,2011;23;437616,984;70;389290,8678;6;2119,704333;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[4.8922711847, 44.3616338133], [4.8816338902, 44.3248670699], [4.9785833048, 44.2974612378], [5.0157545107, 44.3927671368], [4.970437559300001, 44.4313672262], [4.8922711847, 44.3616338133]]], [[[4.230280885, 43.4601836607], [4.5549165863, 43.4462132742], [4.5627978196, 43.3721349418], [4.6617842756, 43.3464105268], [4.855044891, 43.3326185156], [4.8668499113, 43.4046781358], [4.967710382, 43.4261003317], [5.0410400765, 43.3272848302], [5.2405905351, 43.3317125973], [5.3110302222, 43.3608799965], [5.3620502254, 43.3219602504], [5.3636491662, 43.2071221057], [5.5369302938, 43.2144900752], [5.6008948126, 43.1625455123], [5.8127322116, 43.1093671562], [5.8574553138, 43.0466188736], [5.9412493839, 43.1076610876], [6.0314352379, 43.0774752593], [6.1240517993, 43.0793065063], [6.2652965375, 43.1210410225], [6.3682566797, 43.0899148717], [6.3875680182, 43.1449002533], [6.4934958462, 43.1502237294], [6.5596377555, 43.1886326376], [6.6355350266, 43.1725094483], [6.6773068762, 43.2787948266], [6.6659564384, 43.3182198338], [6.7398086752, 43.4128823868], [6.8594727968, 43.4181595273], [6.9179721529, 43.4477385354], [6.9718325906, 43.5454512967], [7.0404439377, 43.5415827815], [7.167665965, 43.6574016693], [7.3202887346, 43.6913287584], [7.5285185561, 43.7905176385], [7.4954411095, 43.8643557376], [7.567110139, 43.943674367], [7.6485982666, 43.9741095217], [7.7169378582, 44.0817628953], [7.6708532381, 44.1537368549], [7.5057396588, 44.1436488514], [7.4269527802, 44.1128748007], [7.2819657634, 44.1434486084], [7.1889131681, 44.197800735], [7.0080588995, 44.2364345184], [6.9934466941, 44.280889629], [6.896505442200001, 44.3743014339], [6.8540144372, 44.5291251133], [6.9335092809, 44.5759534545], [6.9870611833, 44.690137664], [7.0771048243, 44.6809149504], [6.9995699131, 44.7894438587], [7.0067725151, 44.8393160124], [6.8598658044, 44.8529034284], [6.7497507151, 44.9073593446], [6.740812155, 45.0167327729], [6.6738842245, 45.0196184393], [6.629992302, 45.1093249629], [6.4812555477, 45.0941389526], [6.3939107243, 45.0618177266], [6.3312951655, 45.1181238659], [6.2293919346, 45.1087499444], [6.2039233205, 45.012471073], [6.3182021616, 45.0038593611], [6.3588423782, 44.9412807958], [6.3553625022, 44.8547753527], [6.1362266704, 44.8640718192], [6.0563403817, 44.8159074308], [5.9495216337, 44.8045273557], [5.8503937497, 44.7507473724], [5.7906236817, 44.6532929048], [5.649631118, 44.6178846055], [5.5972525724, 44.5432736382], [5.6036448321, 44.4655424452], [5.5133416154, 44.4911259904], [5.4185330628, 44.424944615], [5.4930701488, 44.3371739495], [5.6315982014, 44.3283057155], [5.6844936764, 44.1927530534], [5.5761919645, 44.1880370346], [5.5439848356, 44.1363899112], [5.4547151333, 44.1192261325], [5.3832371389, 44.1552848108], [5.3845269212, 44.2010493372], [5.154899666, 44.2309414699], [5.1497309929, 44.2820864933], [5.0605607255, 44.3081371306], [4.8140898311, 44.2323147808], [4.762254989, 44.3253816215], [4.6790253293, 44.3204902352], [4.6492274235, 44.2703598077], [4.7220708851, 44.1874207076], [4.7074595244, 44.1036697441], [4.7879793576, 44.0650567756], [4.8421001716, 43.9864735428], [4.690546281, 43.8838986231], [4.5930346527, 43.6874596668], [4.4872344747, 43.6992413983], [4.4093533628, 43.5611268519], [4.2381030309, 43.497625146], [4.230280885, 43.4601836607]], [[5.0178344378, 43.469321193], [5.0154635062, 43.5297188593], [5.1086615061, 43.5254968155], [5.1496876212, 43.4570266581], [5.0703896716, 43.4002025922], [5.0178344378, 43.469321193]]]]}";43.9563023543, 6.05848222392
2020;OCCITANIE;76;HTA;757;1523603,981;133;2549224,569;459;1343386,316;28;429831,3502;49;208115,2977;8;6244,915167;"{""type"": ""Polygon"", ""coordinates"": [[[2.06290798, 44.9765045506], [1.9081575006, 44.9784231822], [1.8239145075, 44.9276833478], [1.6509774863, 45.0250133079], [1.5357229531, 45.0462758518], [1.4133042326, 44.9993818131], [1.4419256468, 44.8775756924], [1.2877769807, 44.7147846178], [1.1466756286, 44.6703461289], [1.1537948801, 44.6394089899], [1.0131652927, 44.5361298185], [1.0090202443, 44.480044617], [1.0574845115, 44.4276732115], [1.0497968481, 44.3626393664], [0.8873358283, 44.3663740532], [0.8734714024, 44.3233072321], [0.9499239237, 44.276443376], [0.8687787531, 44.1263270917], [0.7528786501, 44.10226791], [0.6665968347, 44.0251442718], [0.597977694, 44.0782245494], [0.3040911439, 43.9930608089], [0.1895713922, 44.014641613], [0.0763049204, 43.9828294585], [0.0325516022, 43.9001915071], [-0.0735971534, 43.9450460109], [-0.1791100533, 43.9379152311], [-0.1941382418, 43.7370150321], [-0.232584747, 43.7140856116], [-0.2777146535, 43.6162005262], [-0.2416171202, 43.5833899016], [-0.0967878717, 43.5824048565], [-0.0401354445, 43.5126043982], [-0.0690283428, 43.4373457438], [0.0095923342, 43.4221061765], [-0.0461225593, 43.3008584887], [-0.0170085263, 43.2704486462], [-0.1909805129, 43.111202819], [-0.2239464237, 43.0336840911], [-0.2915470319, 42.9877688635], [-0.3270823406, 42.9157852168], [-0.3134440845, 42.8493750211], [-0.1459966153, 42.7684694836], [-0.106113255, 42.7208272131], [-0.0106399737, 42.6843841172], [0.1757255526, 42.7364804306], [0.2598864428, 42.7158148006], [0.3596276175, 42.7233909027], [0.4292770313, 42.6907479605], [0.6822575418, 42.7089654246], [0.6445380642, 42.7830764113], [0.7083753005, 42.861402691], [0.8578728743, 42.8257572205], [0.9273270933, 42.789255631], [1.0751085868, 42.785348263], [1.1618506763, 42.7110436742], [1.3250225479, 42.7239012157], [1.3895995519, 42.6850855729], [1.4350570021, 42.6060736854], [1.549250869, 42.6557727223], [1.601468898, 42.6280402091], [1.7379681343, 42.611311357299996], [1.7298892804, 42.4953274927], [1.8346241667, 42.4817835455], [1.9582805852, 42.4240477548], [1.9859078905, 42.3620445825], [2.0835932962, 42.362697401], [2.1563381692, 42.4234238201], [2.257803923, 42.4383535366], [2.4354845211, 42.3888801741], [2.4829568103, 42.3396474222], [2.5778257715, 42.3579323397], [2.6717703199, 42.341177323], [2.6750400952, 42.4049709881], [2.7992434852, 42.4185713739], [2.8414158207, 42.4585218164], [3.0407584676, 42.473141908], [3.0854409736, 42.4255134728], [3.1732186032, 42.4348782932], [3.1335799244, 42.5129376827], [3.0602531213, 42.5355714564], [3.0374210506, 42.6238346417], [3.0393825875, 42.7991983316], [3.0655869638, 43.0216750647], [3.1683477733, 43.1573283483], [3.3438584523, 43.2703942218], [3.4303317007, 43.2902104351], [3.5109592064, 43.2733288404], [3.6621617057, 43.392279948], [3.7966687778, 43.4410385715], [3.9071379792, 43.5168455451], [4.0111840974, 43.5524466631], [4.1004270708, 43.5545157497], [4.1376704666, 43.4819494581], [4.230280885, 43.4601836607], [4.2381030309, 43.497625146], [4.4093533628, 43.5611268519], [4.4872344747, 43.6992413983], [4.5930346527, 43.6874596668], [4.690546281, 43.8838986231], [4.8421001716, 43.9864735428], [4.7879793576, 44.0650567756], [4.7074595244, 44.1036697441], [4.7220708851, 44.1874207076], [4.6492274235, 44.2703598077], [4.5035386973, 44.340187516], [4.3360706324, 44.3395191732], [4.2588499154, 44.2647837325], [4.1428714789, 44.3133517154], [4.051456644, 44.3173218081], [4.0684449499, 44.4051117353], [3.998224588, 44.4597978975], [3.9451514993, 44.5737899992], [3.9051707457, 44.5927089574], [3.8615128126, 44.7120169455], [3.8754615107, 44.7406269437], [3.7406494702, 44.8386973557], [3.4757711698, 44.8153706287], [3.4128322001, 44.9448416101], [3.3379420513, 44.955906998], [3.182317038, 44.8637354224], [3.1054945101, 44.8867748058], [2.998574264, 44.6744429657], [2.9232670004, 44.7286425252], [2.8496519747, 44.8714902308], [2.8019576506, 44.8736257551], [2.738258109, 44.9412194917], [2.6026823497, 44.8431631104], [2.5561225575, 44.7212839892], [2.4350008531, 44.6388749291], [2.3267908312, 44.669693386], [2.1941481718, 44.6262246079], [2.1552964923, 44.7002394425], [2.1716374993, 44.790027108], [2.094209764, 44.872012368200004], [2.06290798, 44.9765045506]]]}";43.7015701669, 2.14729690321
2020;HAUTS DE FRANCE;32;HTA;64;49430,09432;410;9582957,856;11;3634,21325;41;486100,3319;83;597491,141;11;96619,4875;"{""type"": ""Polygon"", ""coordinates"": [[[1.7043588288, 49.2321972209], [1.7421415991, 49.1801517243], [1.8852348791, 49.1626360276], [2.080885092, 49.2097739285], [2.2524813607, 49.152881479], [2.4409039786, 49.1458041116], [2.5966393582, 49.0816626297], [2.6332770991, 49.1083726342], [2.7350099333, 49.0604525157], [3.0085155423, 49.0915065604], [3.0696792706, 49.1167355356], [3.1652303377, 49.0996535544], [3.1716785231, 49.0141258888], [3.3047535825, 48.9487669653], [3.4032208419, 48.864690111], [3.4851833722, 48.8519103086], [3.5285709402, 48.912136555800004], [3.601595785, 48.9440738525], [3.646311559, 49.040590166], [3.6000114844, 49.1206900119], [3.7043892553, 49.1813694426], [3.6469573186, 49.3151525816], [3.8474758082, 49.3645893346], [3.9244391664, 49.406179032], [4.0354977853, 49.3599059443], [4.0407061704, 49.5085320077], [4.1270270055, 49.6779176053], [4.2500943396, 49.7570988494], [4.2095884562, 49.781777002], [4.2485056451, 49.8565181716], [4.2330628764, 49.9578247108], [4.1363736079, 50.0204612431], [4.2279959931, 50.066368977], [4.1998869422, 50.1310811124], [4.1269212644, 50.1350091206], [4.2218515439, 50.2569543838], [4.1366519412, 50.2742958366], [4.0376171727, 50.3429509019], [3.7474052054, 50.3509282412], [3.6582667948, 50.3713438943], [3.6642184659, 50.4531737602], [3.6130169489, 50.4924712247], [3.4739635798, 50.5335635453], [3.3738958439, 50.491827614900004], [3.2865243698, 50.527577616], [3.2485035849, 50.6380412189], [3.2583766478, 50.7006468166], [3.1520005086, 50.7823432923], [3.0613770335, 50.7805017475], [2.9380690678, 50.7443439268], [2.8983786417, 50.6942388029], [2.8132739835, 50.7169458325], [2.7174754083, 50.8136068242], [2.5995904645, 50.8533325338], [2.6326801579, 50.9460087655], [2.5430346061, 51.088543708], [2.4247543344, 51.0556216324], [2.3478325752, 51.0598296338], [2.1097045643, 51.0038275977], [1.9157790444, 50.984087355], [1.7288559802, 50.9378925404], [1.5806327685, 50.8673438296], [1.6042092031, 50.7918712762], [1.5607073854, 50.6996727655], [1.5854092274, 50.5373524076], [1.5379421307, 50.2826684072], [1.5902729859, 50.2559492912], [1.3796981484, 50.0650118895], [1.6784507674, 49.9181305679], [1.7579284899, 49.780795399], [1.6895744512, 49.6947874273], [1.7045833965, 49.6053971426], [1.7663409121, 49.466149422], [1.7227989638, 49.4330579386], [1.7756247174, 49.2996936786], [1.7043588288, 49.2321972209]]]}";49.9708645874, 2.76896564011
2020;GRAND EST;44;HTA;534;143504,7569;373;8365551,508;195;281244,9377;118;647880,4917;80;503215,2823;9;13444,47615;"{""type"": ""Polygon"", ""coordinates"": [[[3.4851833722, 48.8519103086], [3.435810347, 48.7535717105], [3.4604317355, 48.6530090774], [3.5459031083, 48.6280654789], [3.4234477695, 48.533559074], [3.3919585016, 48.4243176588], [3.4147888225, 48.3902685491], [3.4981541228, 48.3690980878], [3.6168016799, 48.2713435109], [3.6678669028, 48.1392110181], [3.7402966514, 48.1697095978], [3.8049696873, 48.1025468506], [3.8500279608, 47.9837915161], [3.9020918728, 47.9391682322], [4.1117817873, 47.9269983942], [4.1991540335, 47.9699414426], [4.4490036625, 47.9571519812], [4.5599635427, 47.9714241662], [4.5826732521, 48.0294627734], [4.7890783024, 48.0078285635], [4.9540995648, 47.8667671584], [4.9824009031, 47.8003509814], [4.949605095, 47.7650062174], [4.9791098414, 47.6877636902], [5.3547654342, 47.5913602933], [5.4063403298, 47.6734034974], [5.6900715815, 47.6848342602], [5.690284568, 47.8186020602], [5.8214368328, 47.8681778255], [5.9475278159, 47.9797120211], [6.002266013, 47.9560886962], [6.072558604, 48.0156690501], [6.1560578217, 48.0069431591], [6.1679889958, 47.9523529808], [6.2379829343, 47.9328404134], [6.3661530483, 47.961943699], [6.4786058642, 47.8855216539], [6.6017847199, 47.9444003341], [6.6455373161, 47.9040227789], [6.8428287756, 47.8129072404], [6.8634725872, 47.7851573658], [7.0159618971, 47.7432299961], [7.0463174146, 47.6715016173], [7.0049789727, 47.6193792719], [7.0862717367, 47.5925648489], [7.1730742136, 47.4471817889], [7.246298101, 47.422198455], [7.4034100435, 47.4355244902], [7.5067572708, 47.4956292121], [7.5034111797, 47.5419756467], [7.5927957926, 47.6017798536], [7.5223404694, 47.662321695], [7.556707292, 47.879941001], [7.6220859201, 47.9722724169], [7.5716202897, 48.0303761422], [7.5773157721, 48.1203711116], [7.7398754621, 48.3217493421], [7.7359720298, 48.4041616809], [7.8052011366, 48.5135730477], [7.8398216436, 48.6413774101], [7.9631443713, 48.7213556198], [7.9717522882, 48.7576315164], [8.096323281, 48.8103835932], [8.21434244, 48.9750964581], [8.0913803068, 48.9892598369], [7.9346229019, 49.0578111126], [7.8687912381, 49.0341586456], [7.8004419679, 49.0641147963], [7.6355545761, 49.0541518594], [7.539006423, 49.0920678322], [7.4399501768, 49.1807960224], [7.3650755027, 49.1718362947], [7.2986472513, 49.117456415], [7.0660953113, 49.1145820769], [7.0107084883, 49.188120339], [6.9354186817, 49.2221561622], [6.8353839856, 49.2113254728], [6.8345431951, 49.151466537], [6.7385082594, 49.1636612659], [6.669186219, 49.2806024189], [6.5658428249, 49.3473527416], [6.5522345196, 49.4233482097], [6.4301197079, 49.4764000203], [6.2965751756, 49.4801068315], [6.2564100413, 49.5100190398], [5.9889818118, 49.4533301782], [5.971776635, 49.4913200662], [5.8690865174, 49.4987784202], [5.8369587699, 49.5424754734], [5.6597739173, 49.5528689466], [5.4801260051, 49.5042048467], [5.4269132758, 49.5973449086], [5.2691845902, 49.6960716695], [5.1662014037, 49.6929145571], [5.0631783029, 49.7619242903], [4.8738789972, 49.8207958944], [4.8833077168, 49.8961807462], [4.7909101015, 49.9583976065], [4.8795586056, 50.1520314544], [4.7621611459, 50.1363951603], [4.6831845411, 50.0649187492], [4.6888729975, 49.995500125], [4.5930582012, 49.9855053692], [4.4469381022, 49.9375082185], [4.3336522041, 49.9635607461], [4.2330628764, 49.9578247108], [4.2485056451, 49.8565181716], [4.2095884562, 49.781777002], [4.2500943396, 49.7570988494], [4.1270270055, 49.6779176053], [4.0407061704, 49.5085320077], [4.0354977853, 49.3599059443], [3.9244391664, 49.406179032], [3.8474758082, 49.3645893346], [3.6469573186, 49.3151525816], [3.7043892553, 49.1813694426], [3.6000114844, 49.1206900119], [3.646311559, 49.040590166], [3.601595785, 48.9440738525], [3.5285709402, 48.912136555800004], [3.4851833722, 48.8519103086]]]}";48.688737088, 5.61552005989
