Année;Nom région;Code région;Domaine de tension;Nb sites Photovoltaïque Enedis;Energie produite annuelle Photovoltaïque Enedis (MWh);Nb sites Eolien Enedis;Energie produite annuelle Eolien Enedis (MWh);Nb sites Hydraulique Enedis;Energie produite annuelle Hydraulique Enedis (MWh);Nb sites Bio Energie Enedis;Energie produite annuelle Bio Energie Enedis (MWh);Nb sites Cogénération Enedis;Energie produite annuelle Cogénération Enedis (MWh);Nb sites Autres filières Enedis;Energie produite annuelle Autres filières Enedis (MWh);geom;Geo Point 2D
2012;Hauts-de-France;32;HTA;14;28452,64061;155;2630013,1;10;3416,805254;27;354667,2461;71;708255,0249;6;391,507;;
2012;Île-de-France;11;HTA;6;17245,46783;2;41163,422;5;46507,175;27;696952,8965;78;1084747,621;1;6,710719024;;
2012;Normandie;28;HTA;10;21389,39774;52;947994,3439;38;131437,0527;14;90575,60001;41;429739,9948;11;676,318;;
2015;Nouvelle-Aquitaine;75;HTA;162;884541,915;29;504682,349;222;531327,2909;31;358839,841;39;224166,2126;12;554,336;;
2020;BRETAGNE;53;HTA;133;37586,02908;145;2258314,217;20;21081,42917;63;363245,893;125;831225,3547;19;554,3646667;"{""type"": ""Polygon"", ""coordinates"": [[[-1.0701643749, 48.5084920165], [-1.2065516679, 48.5422060873], [-1.2722481273, 48.5339203309], [-1.3772457352, 48.4582827533], [-1.4899417998, 48.4893723567], [-1.571089438, 48.6264411481], [-1.7641502835, 48.6035586262], [-1.8450690325, 48.6163648239], [-1.8561321209, 48.7048545039], [-1.9698310105, 48.6863239089], [-2.0486923175, 48.6369793446], [-2.1151461031, 48.640574814], [-2.223952541, 48.59538226], [-2.3128614052, 48.680924797], [-2.4734313644, 48.6225200302], [-2.6312659297, 48.5381261467], [-2.6815598012, 48.5311288757], [-2.8196028872, 48.5935280749], [-2.8269304595, 48.6505650444], [-3.0293952651, 48.7759142538], [-3.1139737119, 48.866740453], [-3.2317564058, 48.8674118248], [-3.4307313975, 48.797223993], [-3.5132038128, 48.8349994493], [-3.5850133197, 48.7754969753], [-3.5812522674, 48.6700149704], [-3.7332465196, 48.7074179357], [-3.8323743274, 48.7119356588], [-3.8977104457, 48.6463558398], [-3.9757432893, 48.699031896], [-4.1869344611, 48.6864622045], [-4.272765794, 48.6495796567], [-4.3514034206, 48.6761132932], [-4.462769295, 48.6271009575], [-4.5614793437, 48.6238014897], [-4.6306065814, 48.5776933398], [-4.730581475, 48.5563456286], [-4.7933430625, 48.4162359559], [-4.7609158756, 48.3727525735], [-4.6087240374, 48.3378883798], [-4.4417567491, 48.3536153939], [-4.2909479257, 48.341952755], [-4.3080337337, 48.2971633841], [-4.5666092529, 48.2863402422], [-4.564028789, 48.2322275795], [-4.4483574331, 48.2356342779], [-4.3011254538, 48.1914469042], [-4.2717328773, 48.1330539996], [-4.4885983026, 48.0864731034], [-4.6682276451, 48.0702008643], [-4.7230336278, 48.0335996714], [-4.4535767045, 47.9817776353], [-4.3625716178, 47.8892665744], [-4.3624139097, 47.7957394561], [-4.1923054697, 47.7973759297], [-4.1635564221, 47.8491825813], [-3.9024789053, 47.8359405966], [-3.8005952118, 47.7876336], [-3.5323062305, 47.7682790039], [-3.4527575847, 47.6953390921], [-3.3442241173, 47.708359646], [-3.2081335588, 47.663424134], [-3.1232563343, 47.5695082954], [-2.975178853, 47.5760689361], [-2.8511519612, 47.6190212996], [-2.701951183, 47.589922636], [-2.6643333233, 47.5186367306], [-2.5371281384, 47.5256773577], [-2.4412197567, 47.4962379718], [-2.4584933201, 47.4481233293], [-2.3128644981, 47.4644707264], [-2.1073294073, 47.5310543791], [-2.0747327429, 47.6516629644], [-1.8640156729, 47.7069809654], [-1.6548173401, 47.7125893135], [-1.5934046638, 47.776049297], [-1.3904289319, 47.8282762571], [-1.2458850129, 47.77671745], [-1.1539896712, 47.9658166433], [-1.0212596212, 47.9949393086], [-1.1000554557, 48.2592776115], [-1.045019599, 48.3277287276], [-1.0827926456, 48.4330573788], [-1.0701643749, 48.5084920165]]]}";48.1835309472, -2.84175662451
2018;Bretagne;53;HTA;22;20037,47367;130;1766986,781;19;18737,13208;41;317762,9757;92;707596,1123;17;755,4633333;;
2018;Nouvelle-Aquitaine;75;HTA;218;1417985,885;37;751645,939;221;590994,3903;36;487094,119;49;343222,5708;9;476,2401667;;
2016;Centre-Val de Loire;24;HTA;11;38972,909;66;1234810,377;17;37714,94517;20;349669,471;32;222398,377;0;0;;
2016;Normandie;28;HTA;11;32736,2435;74;1182407,285;32;115670,658;23;108954,254;39;388215,585;11;2173,5;;
2016;Auvergne-Rhône-Alpes;84;HTA;94;299565,161;56;808453,395;355;1455031,742;38;650828,782;63;438912,869;14;951,926;;
2017;Bretagne;53;HTA;23;18617,057;133;1545244,709;19;9087,312;43;281979,225;92;666490,055;21;10103,593;;
